lead_id,name,segment,city,address,product_fit,whatsapp_url,facebook_url,instagram_url,phone,source_url,confidence,notes
15,Waffle Joint,مطعم حلويات ووجبات سريعة,Alexandria,325 Army Road - Saba Basha,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346952,متوسط,المصدر يصنفه ضمن الكريب والوجبات السريعة.
16,Mall 1924,مطعم/منشأة أطعمة,Alexandria,63 Fouad Street - El Raml Station,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346239,منخفض,الوصف المختصر في الدليل؛ يلزم تحقق إضافي من طبيعة النشاط.
17,Wii Wa Enough,كافيه ومطعم,Alexandria,Iskandar Ibrahim Street in front of Miami Central - Miami,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346954,متوسط,نشاط تجاري مدرج علنًا.
18,Remo Cafe,كافيه,Alexandria,Alex Matrouh Desert Road - El-Agamy - Inside El Agami Star Mall,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/342379,متوسط,المصدر يصنفه كافيه.
19,It's A Cafe,كافيه,Alexandria,4 Top House Towers - Hilton Street - Smouha,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/342328,متوسط,المصدر يصنفه كافيه.
20,Shawarma And Dumplings,مطعم ووجبات سريعة,Alexandria,"6 Al-Qaisar Street, off Sultan Hussein Street - El Raml Station",نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346873,متوسط,نشاط تجاري مدرج علنًا.
21,Carlos Cafe,كافيه ومطعم,Alexandria,Km 6 - Shop 96 - Inside Alexandria City Center,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346888,متوسط,نشاط داخل مركز تجاري؛ ملائم للمنيو والطلبات.
22,Abu Kamal,مطعم ووجبات سريعة,Alexandria,5 El Galaa Street - Victoria,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346771,متوسط,نشاط تجاري مدرج علنًا.
23,The Best Syrian Restaurant,مطعم سوري,Alexandria,57th Street intersection with Al-Bekbashi Al-Issawy Street - Sidi Bishr,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346910,متوسط,المصدر يصنفه ضمن المطاعم السورية والوجبات السريعة.
24,Doppio Zero Egypt,مخبز وكافيه,Alexandria,Km 6 - Inside Alexandria City Center - Food Court,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346845,مرتفع,المصدر يذكر المخبوزات والقهوة والطعام؛ ملائم للمنيو والطلبات.
25,Abu Rabie Restaurant Chain,سلسلة مطاعم,Alexandria,202 Ahmed Shawky Street - Bolkly,نظام المطاعم متعدد الفروع والطلبات والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341665,مرتفع,المصدر يصفه كسلسلة مطاعم.
26,Butterfly Restaurant,مطعم مأكولات بحرية,Alexandria,811 Corniche Road - El-Mandara Bahary,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/348511,مرتفع,المصدر يذكر المأكولات البحرية وخدمة مطعم.
27,Verano Cafe,كافيه ومطعم,Alexandria,"13 Al-Bakwat Street, off Street 5 - Al Bitash",نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341188,متوسط,المصدر يصنفه مطعمًا إيطاليًا وكافيه.
28,Sodok W Gambary,مطعم مأكولات بحرية,Alexandria,"2 Taawoneyat Smouha, Hatem Mosque Street - Smouha",نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346865,متوسط,المصدر يذكر المأكولات البحرية والوجبات السريعة.
29,Holmes,مطعم برجر,Alexandria,Roman Camp Street - Roshdy - Inside Armed Forces Mall,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346950,متوسط,المصدر يصنفه مطعم برجر.
30,Pistachio Cafe,كافيه,Alexandria,50 Mostafa Kamel Street - Smouha,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/342345,متوسط,المصدر يصنفه كافيه.
31,Street Food,مطعم وجبات سريعة,Alexandria,The corner of Muhammad Fouad Jalal with Ahmed Qamha Street - Sidi Bishr,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346957,متوسط,المصدر يذكر أنه مطعم مأكولات شارع.
32,Little Texas Burger,مطعم برجر,Alexandria,Army Road - Sidi Gabir - Inside Tivoli Dome Alex,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346903,متوسط,المصدر يصنفه مطعم برجر.
33,Khubz Sag,مطعم ووجبات سريعة,Alexandria,After Alexandria Eye Center toward Ali Ibn Abi Talib - Smouha,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346844,متوسط,المصدر يذكر ساندويتشات ومأكولات سريعة.
34,Sultan Cafe,كافيه,Alexandria,39 Bekbashi El-Esawy Street - Sidi Bishr,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/342314,متوسط,المصدر يصنفه كافيه.
35,Abu Awad Restaurant Chain,سلسلة مطاعم,Alexandria,2 Casino Street - San Stefano,نظام المطاعم متعدد الفروع والطلبات والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341666,مرتفع,المصدر يصفه كسلسلة مطاعم.
36,Coco Prost,مطعم ووجبات سريعة,Alexandria,Martyr Mahmoud Shukry Abdel Moneim Street - Smouha - Inside Al Moltaqa Mall,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346896,متوسط,نشاط داخل مول؛ ملائم للطلبات الرقمية.
37,Club 21 Cafe And Restaurant,كافيه ومطعم,Alexandria,5 Mina Mall Building - El Moaskar El Romany Street - Roshdy,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346894,متوسط,المصدر يذكر عدم وجود حد أدنى للطلب.
38,Arabic Loaf Righef Arabic,مطعم ومخبز,Alexandria,Food court - Smouha - Beside Makkah & Gad Juice,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346852,متوسط,المصدر يصنفه ضمن المطاعم والوجبات السريعة.
39,Eid Restaurant,مطعم مصري,Alexandria,26 El Bitash Street - Al Bitash,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341710,متوسط,المصدر يصنفه مطعمًا مصريًا.
40,Yanks Corner,مطعم برجر,Alexandria,15 Saint Jenny Street - Kafr Abdo,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346956,متوسط,المصدر يذكر برجر منزلي الصنع.
41,Luce Cafe And Restaurant,كافيه ومطعم,Alexandria,El Maamora - Inside Al Khaleej Royal Plaza Mall,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341301,متوسط,المصدر يصنفه مطعمًا إيطاليًا وكافيه.
42,Fire Fly Burger Egypt,مطعم برجر,Alexandria,"Officers Buildings, Mostafa Kamel - Inside City Square Mall",نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346880,متوسط,المصدر يصنفه مطعم وجبات سريعة.
43,On The Corner 3Al Nassia,مطعم ووجبات سريعة,Alexandria,73 El Horreya Road - Azarita - Inside Eat & Treat Restaurants District,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346878,متوسط,نشاط داخل منطقة مطاعم.
44,Darwish Restaurant,مطعم,Alexandria,1 Ibn Bassam Street - El Raml Station - Inside Philip House Hotel,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341594,متوسط,المصدر يصنفه مطعمًا.
45,Orients Restaurant And Cafe,كافيه ومطعم,Alexandria,Palmyra - Montazah Palace Gardens Center - Montaza,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/342480,متوسط,المصدر يصنفه مطعمًا وكافيه.
46,The Burger Shop,مطعم برجر,Alexandria,"315 45th Street, intersection of Gamal Abdel Nasser Street - Miami",نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346848,متوسط,المصدر يصنفه ضمن الوجبات السريعة.
47,Masmat Farouk's Sons,مطعم مصري,Alexandria,Khufu Street - Karmus,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341681,متوسط,المصدر يصنفه مطعمًا مصريًا.
48,The Truck,مطعم متنقل/وجبات سريعة,Alexandria,Army Road - Sidi Gabir - Inside Tivoli Dome Alex,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346850,متوسط,المصدر يذكر خدمة طعام ومشروبات.
49,Moonlight Cafe,كافيه,Alexandria,52 45th Street - Miami,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/342435,متوسط,المصدر يصنفه كافيه.
50,Capri Dutch Egyptian Import & Export,تجهيزات فنادق ومطاعم,Alexandria,Km 23 - Alex Cairo Desert Road - Amreya,متجر/موقع أعمال أو بورتفوليو حسب احتياج النشاط,,,,,https://en.infoeg.com/alexandria/page/331542,مرتفع,المصدر يذكر تجهيزات الفنادق والمطاعم؛ ليس عميل نظام الطلبات الأساسي.
51,Bakeen Restaurant,مطعم ومأكولات طبيعية,Alexandria,First right street from Ali Al-Bahr after Iskandar Ibrahim - Miami,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346924,متوسط,المصدر يذكر المنتجات الطبيعية والزراعية.
52,Detox Kitchen,مطعم أكل صحي,Alexandria,31 behind Ahmed Yehia Street - Zezenia - Food court,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346847,مرتفع,المصدر يصنفه أكلًا صحيًا؛ ملائم للمنيو والطلبات.
53,Damascene Restaurant,مطعم سوري,Alexandria,8 Cotton Towers - Victor Emanuel Square - Smouha,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346916,متوسط,المصدر يصنفه مطعمًا ووجبات سريعة.
54,Alibaba's Pies,مطعم فطائر وبيتزا,Alexandria,"Mostafa Kamel Street, Al-Sa'a Square - Victoria",نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341180,متوسط,المصدر يصنفه بيتزا وفطائر.
55,Safari Cafe,كافيه,Alexandria,160 Ahmed Shawky Street - Roshdy,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/342385,متوسط,المصدر يصنفه كافيه.
56,Karky,مطعم دجاج,Alexandria,57 Al-Rasafa Street - Moharam Bek,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346887,متوسط,المصدر يذكر الدجاج المقرمش.
57,Blue Lounge Restaurant,مطعم فندق,Alexandria,399 Army Road - San Stefano - Inside Four Seasons Hotel Alexandria,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346925,متوسط,المصدر يربطه بفندق؛ يحتاج تأهيلًا إضافيًا لصاحب القرار.
58,The Sultan Of Fesikh,مطعم مأكولات بحرية,Alexandria,116 Ismail Muhanna Street - Al Attarin,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341128,متوسط,المصدر يصنفه مأكولات بحرية.
59,Al Haramain For Koshari,مطعم كشري,Alexandria,Al-Zohour Street - Al-Zohour Tower - Al Hadra,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/340870,متوسط,المصدر يصنفه مطعم كشري.
60,Fsfor Khalil Hamadeh,مطعم مأكولات بحرية,Alexandria,"17 Al Massa Tower, Khalil Hamadeh Street - Asafra",نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/583431,متوسط,المصدر يصفه مطعم مأكولات بحرية.
61,Bistro Cafe,كافيه ومطعم,Alexandria,6 Fouad Street - El Raml Station,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/341660,متوسط,المصدر يصنفه مطعمًا مصريًا وكافيه.
62,Al Falah Restaurant,مطعم ووجبات سريعة,Alexandria,461 Gamal Abdel Nasser Street - Mandara Circle,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346918,متوسط,المصدر يصنفه مطعمًا ووجبات سريعة.
63,Walkers,كافيه ومخبوزات,Alexandria,30 Champollion Street - Azarita,نظام المطاعم والطلبات والمنيو والتوصيل,,,,,https://en.infoeg.com/alexandria/page/346953,متوسط,المصدر يذكر المخبوزات والقهوة.
64,Al Fouad Dental Clinics,عيادة أسنان,Alexandria,185 Ahmed Shawky Street - Bolkly,نظام إدارة العيادات والحجز والمواعيد,,https://www.facebook.com/Al.Fouad.Dental.Clinics,,,https://en.infoeg.com/alexandria/page/329606,مرتفع,صفحة Facebook مرتبطة بسجل الدليل؛ واتساب غير ظاهر.
65,Dento Kidz,عيادة أسنان أطفال,Alexandria,57 Victor Emmanuel Street - Smouha,نظام إدارة العيادات والحجز والمواعيد,,https://www.facebook.com/DentoKidz,,,https://en.infoeg.com/alexandria/page/329534,مرتفع,صفحة Facebook مرتبطة بسجل الدليل؛ واتساب غير ظاهر.
66,Dr. Amr El Khouly Center,عيادة أسنان,Alexandria,14 Port Said Street - Shatby,نظام إدارة العيادات والحجز والمواعيد,,https://www.facebook.com/Center-Dr-Amr-El-Kholy-309234795771511,,,https://en.infoeg.com/alexandria/page/329431,مرتفع,صفحة Facebook مرتبطة بسجل الدليل؛ واتساب غير ظاهر.
67,Dr. Aziza Orabi Center For Oral And Dental Medicine,عيادة أسنان,Alexandria,21 Amin Fekry Street - El Raml Station,نظام إدارة العيادات والحجز والمواعيد,,https://www.facebook.com/AZIZADENT,,,https://en.infoeg.com/alexandria/page/329421,مرتفع,صفحة Facebook مرتبطة بسجل الدليل؛ واتساب غير ظاهر.
68,Dr. Bassem El Ashrafy Dental Center,عيادة أسنان,Alexandria,55 El-Rasafa Street - Moharam Bek,نظام إدارة العيادات والحجز والمواعيد,https://wa.me/201224436076,https://www.facebook.com/ElAshrafy,,,https://en.infoeg.com/alexandria/page/329338,مرتفع,واتساب ورابط Facebook ظاهران علنًا في سجل النشاط.
69,Dr. Mahmoud Yahya Qabbani,عيادة أسنان,Alexandria,28 Tutankhamun Street - Smouha,نظام إدارة العيادات والحجز والمواعيد,,,,,https://en.infoeg.com/alexandria/page/329482,متوسط,صفحة دليل مع عنوان؛ لا يوجد رابط تواصل اجتماعي ظاهر.
70,El Manshia Dental Clinic,عيادة أسنان,Alexandria,Al-Nasr Street - El-Nasr Administrative Tower - El-Mansheya,نظام إدارة العيادات والحجز والمواعيد,,https://www.facebook.com/elmanshia.dental.clinic,,,https://en.infoeg.com/alexandria/page/329562,مرتفع,صفحة Facebook مرتبطة بسجل الدليل.
71,Elite Dental Clinic,عيادة أسنان,Alexandria,1 El Ferdous Street - Smouha,نظام إدارة العيادات والحجز والمواعيد,,https://www.facebook.com/Elite.Clinc,,,https://en.infoeg.com/alexandria/page/329611,مرتفع,صفحة Facebook مرتبطة بسجل الدليل.
72,Louran Dental Care,عيادة أسنان,Alexandria,724 El Horreya Road - Louran,نظام إدارة العيادات والحجز والمواعيد,https://wa.me/201112220812,https://www.facebook.com/lourandental,,,https://en.infoeg.com/alexandria/page/329589,مرتفع,واتساب ورابط Facebook ظاهران علنًا في سجل النشاط.
73,Naga Dental Center,عيادة أسنان,Alexandria,4 El-Dabbaneh Church Street - El Raml Station,نظام إدارة العيادات والحجز والمواعيد,,https://www.facebook.com/NagaDentalCenter/,,,https://en.infoeg.com/alexandria/page/329247,مرتفع,صفحة Facebook مرتبطة بسجل الدليل.
74,Sky Dent For Cosmetic Dentistry,عيادة أسنان تجميلية,Alexandria,5 Tayyar Mahmoud Shukry Street - Smouha,نظام إدارة العيادات والحجز والمواعيد,https://wa.me/201103492212,https://www.facebook.com/SKYDENTCENTER,,,https://en.infoeg.com/alexandria/page/720258,مرتفع,واتساب ورابط Facebook ظاهران علنًا في سجل النشاط.
75,Sky Dent For Dental Treatment And Cosmetics,عيادة أسنان تجميلية,Alexandria,40 Suez Canal Street - Moharam Bek,نظام إدارة العيادات والحجز والمواعيد,,https://www.facebook.com/SKYDENTCENTER,,,https://en.infoeg.com/alexandria/page/329251,مرتفع,صفحة Facebook مرتبطة بسجل الدليل؛ قد تكون فرعًا آخر لنفس العلامة.
76,Taj Dental Center,عيادة أسنان,Alexandria,5 Mohamed Sabry Street - Gianaclis,نظام إدارة العيادات والحجز والمواعيد,,https://www.facebook.com/TajMedicalGroup,,,https://en.infoeg.com/alexandria/page/329283,مرتفع,صفحة Facebook مرتبطة بسجل الدليل.
77,Victoria Dental Center Dr. Ahmed Mashaly,عيادة أسنان,Alexandria,237 Gamal Abdel Nasser Street - Miami,نظام إدارة العيادات والحجز والمواعيد,,,,,https://en.infoeg.com/alexandria/page/329631,متوسط,صفحة دليل مع عنوان؛ لا يوجد رابط تواصل اجتماعي ظاهر.
78,Freedom Pharmacy,صيدلية,Alexandria,45 Fouad Street - El Raml Station,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/328060,متوسط,صفحة دليل مع عنوان؛ رقم الاتصال غير ظاهر كاملًا.
79,Nermine Pharmacy,صيدلية,Alexandria,31 Iskandar Ibrahim Street - Miami,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,https://www.facebook.com/NerminePharmacy/,,,https://en.infoeg.com/alexandria/page/327911,مرتفع,رابط Facebook ظاهر علنًا في سجل الدليل؛ رقم الهاتف معروض بشكل مقنّع.
80,Anwar Pharmacy,صيدلية,Alexandria,213 Freedom Road - Al Ibrahimiyah,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/328248,متوسط,صفحة دليل مع عنوان؛ رقم الاتصال غير ظاهر كاملًا.
81,Maher Pharmacy,صيدلية متعددة الفروع,Alexandria,678 Freedom Road - Louran,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/329082,مرتفع,المصدر يذكر أن للصيدلية ثلاثة فروع.
82,Ambulance Pharmacy,صيدلية,Alexandria,155 El-Sayed Mohamed Karim Street - El-Mansheya,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/328001,متوسط,صفحة دليل مع عنوان.
83,Al Dawaa Pharmacies,صيدلية متعددة الفروع,Alexandria,Street 303 - Smouha - Near Andalusia Smouha Hospital,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/327926,مرتفع,المصدر يصفها كشركة صيدليات.
84,Balbaa Pharmacy,صيدلية,Alexandria,161 Albert El Awal Street - Smouha,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/328270,متوسط,صفحة دليل مع عنوان.
85,Freedom Road Pharmacy,صيدلية وخدمات بيطرية,Alexandria,405 A Horreya Road - Mustafa Kamel,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/328968,مرتفع,المصدر يذكر أدوية بشرية وخدمات وأدوية بيطرية.
86,Mahfouz Pharmacies,سلسلة صيدليات,Alexandria,4 Tahrir Square - El-Mansheya,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/327951,مرتفع,المصدر يذكر أنها تعمل منذ 1970 وتوفر توصيلًا.
87,Saber Pharmacies,سلسلة صيدليات,Alexandria,51 Ali Haiba Street - Sidi Beshr Bahary,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/327948,مرتفع,المصدر يصفها بصيغة الجمع/سلسلة.
88,Mizrahi Pharmacy,صيدلية,Alexandria,32 Moharram Bey Street - Moharam Bek,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/329113,متوسط,صفحة دليل مع عنوان.
89,Dr. Pharmacy Saher Daoud,صيدلية,Alexandria,19 Cairo Street - Sidi Beshr Qebly,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/328537,متوسط,صفحة دليل مع عنوان.
90,Nour Pharmacies Group,سلسلة صيدليات,Alexandria,King Hefny Street - Asafra Bahary,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/329182,مرتفع,المصدر يصفها كمجموعة صيدليات.
91,Al Shifa Pharmacy Dr Ahmed Jazarin,صيدلية,Alexandria,169 Freedom Road - Al Hadra Bahary,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/328115,متوسط,صفحة دليل مع وصف للخدمة.
92,Bakhit Pharmacy,صيدلية,Alexandria,9 Ibrahim Al Sharif Street - Kiroseiz Towers - Mustafa Kamel,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/328263,متوسط,صفحة دليل مع عنوان.
93,Dr. Omnia Azmy Pharmacy,صيدلية,Alexandria,34 Tutankhamun Street - Smouha,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/328408,متوسط,صفحة دليل مع عنوان.
94,Dr. Osama El Tayeby Pharmacies,سلسلة صيدليات,Alexandria,637 Freedom Road - Gianaclis,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/327905,مرتفع,المصدر يذكر أنها من أكبر/أهم الصيدليات وله تاريخ تأسيس معلن.
95,Andalusia Pharmacies,سلسلة صيدليات,Alexandria,7 Mohamed Motawe Street - Shallalat,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/327934,مرتفع,المصدر يصفها كعلامة صيدليات.
96,Pharmacia Pharmacies,سلسلة صيدليات,Alexandria,367 Freedom Road - Sidi Gabir,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/327950,مرتفع,المصدر يصفها كصيدليات بصيغة الجمع.
97,Khalil Pharmacy,صيدلية,Alexandria,Al-Qabbari Mosque Street - Mina Al-Basal,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/327913,متوسط,المصدر يذكر اهتمامًا بخدمة ورعاية المرضى.
98,Al Maram Pharmacies,سلسلة صيدليات,Alexandria,76 Mumtaz Pasha Street - Victoria,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/327931,مرتفع,المصدر يذكر أنها تأسست عام 2001 بصيغة صيدليات.
99,Elbeisy Pharmacies,سلسلة صيدليات,Alexandria,30 El-Rasafa Street - Moharam Bek,نظام إدارة الصيدلية والمخزون وطلبات الدواء,,,,,https://en.infoeg.com/alexandria/page/327924,مرتفع,المصدر يذكر خبرة طويلة وصيغة صيدليات متعددة.
