id,problem_hypothesis,evidence_urls,likely_customer,current_workaround,expected_frequency,confidence
13,Product/catalogue prices become inconsistent across channels,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),Social sellers,Copy/paste messages,Weekly,Low
14,"Orders arrive as unstructured text, making fulfilment error-prone",[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),D2C and restaurants,Manually retype order,Daily,Low
15,Delivery address/phone details are incomplete or buried in chat,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),Local commerce,Ask customer again,Daily,Low
16,Digital payment is accepted but not reconciled to each order,[Mastercard Egypt](https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2025-1/february/mastercard-sme-confidence-index-egyptian-smes-embrace-digital-payments-and-innovation-for-sustainable-growth),Egyptian merchants,Bank/app screenshots,Daily,Medium—payment adoption is sourced; reconciliation is hypothesis
17,Payment confirmation is manually checked before fulfilment,[Mastercard Egypt](https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2025-1/february/mastercard-sme-confidence-index-egyptian-smes-embrace-digital-payments-and-innovation-for-sustainable-growth),WhatsApp commerce,Screenshot approval,Daily,Low
18,Invoice creation is disconnected from order capture,[Mastercard Egypt](https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2025-1/february/mastercard-sme-confidence-index-egyptian-smes-embrace-digital-payments-and-innovation-for-sustainable-growth),Egyptian SMEs,Spreadsheet/accountant,Daily,Low
19,E-invoice data has to be re-entered or corrected,[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),Tax-registered SMEs,Accountant and portal,Daily/monthly,Low—needs tax-workflow evidence
20,Invoice/payment follow-up is not systematically scheduled,[Mastercard Egypt](https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2025-1/february/mastercard-sme-confidence-index-egyptian-smes-embrace-digital-payments-and-innovation-for-sustainable-growth),B2B suppliers,Calendar/phone reminders,Weekly,Low
21,Cash-flow visibility lags behind sales activity,[Mastercard Egypt](https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2025-1/february/mastercard-sme-confidence-index-egyptian-smes-embrace-digital-payments-and-innovation-for-sustainable-growth),Owner-managed SMEs,Bank statement + sheet,Weekly,Medium—financial resilience is source theme
22,Spreadsheet versions conflict between sales and stock,[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),Small teams,Shared files/WhatsApp,Daily/weekly,Medium—digital maturity evidence; exact conflict needs interviews
23,Manual reporting consumes owner/manager time,[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),All owner-managed SMEs,End-of-day summaries,Daily,"Medium—manual work is plausible, not quantified locally"
24,Staff lack a consistent script for common support questions,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),Retail and services,Saved replies,Daily,Low
25,Repeat customers are not prompted at the right time,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),"Salons, clinics, maintenance",Personal reminders,Weekly/monthly,Low
26,Customer complaints are not assigned or measured to closure,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),Service operators,Chat search,Daily,Low
27,Arabic/English customer context is lost in handovers,[WA business report](https://whatsappbusiness.com/resources/resource-library/state-of-business-messaging/),Bilingual Gulf businesses,Translation and notes,Daily,Low—requires bilingual interviews
28,Staff permissions and branch access are managed informally,[Monsha'at lead](https://www.monshaat.gov.sa/sites/default/files/2024-11/DIGITAL_TRANSFORMATION%D9%80FOR%D9%80SMEs%D9%80%D9%80EN.pdf),Multi-branch SMEs,Shared logins,Monthly/ongoing,Low—fetch/cross-reference
29,"Owner cannot compare conversion, response time, and repeat rate",[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),Sales/service owners,Manual spreadsheet formulas,Weekly,Low
30,"Tool adoption is blocked by cost, skills, or integration effort",[OECD report](https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/04/sme-digitalisation-for-competitiveness_3116862a/197e3077-en.pdf),Micro and small firms,Stay with familiar tools,Quarterly/ongoing,Medium—OECD barrier evidence; country fit needs validation
